# r_A g_r
1.980000000000000163e-02 0.000000000000000000e+00
5.940000000000000835e-02 0.000000000000000000e+00
9.900000000000000466e-02 0.000000000000000000e+00
1.386000000000000010e-01 0.000000000000000000e+00
1.782000000000000250e-01 0.000000000000000000e+00
2.178000000000000214e-01 0.000000000000000000e+00
2.574000000000000177e-01 0.000000000000000000e+00
2.970000000000000417e-01 0.000000000000000000e+00
3.366000000000000103e-01 0.000000000000000000e+00
3.762000000000000344e-01 0.000000000000000000e+00
4.158000000000000584e-01 0.000000000000000000e+00
4.554000000000000270e-01 0.000000000000000000e+00
4.950000000000000511e-01 0.000000000000000000e+00
5.345999999999999641e-01 0.000000000000000000e+00
5.742000000000000437e-01 0.000000000000000000e+00
6.138000000000001233e-01 0.000000000000000000e+00
6.533999999999999808e-01 0.000000000000000000e+00
6.930000000000000604e-01 0.000000000000000000e+00
7.326000000000001400e-01 0.000000000000000000e+00
7.721999999999999975e-01 0.000000000000000000e+00
8.118000000000000771e-01 0.000000000000000000e+00
8.514000000000001567e-01 0.000000000000000000e+00
8.910000000000000142e-01 0.000000000000000000e+00
9.306000000000000938e-01 0.000000000000000000e+00
9.702000000000001734e-01 0.000000000000000000e+00
1.009800000000000031e+00 0.000000000000000000e+00
1.049400000000000110e+00 0.000000000000000000e+00
1.088999999999999968e+00 0.000000000000000000e+00
1.128600000000000048e+00 0.000000000000000000e+00
1.168200000000000127e+00 0.000000000000000000e+00
1.207800000000000207e+00 0.000000000000000000e+00
1.247400000000000064e+00 0.000000000000000000e+00
1.287000000000000144e+00 0.000000000000000000e+00
1.326600000000000001e+00 0.000000000000000000e+00
1.366200000000000081e+00 0.000000000000000000e+00
1.405800000000000161e+00 0.000000000000000000e+00
1.445400000000000240e+00 0.000000000000000000e+00
1.485000000000000098e+00 0.000000000000000000e+00
1.524600000000000177e+00 0.000000000000000000e+00
1.564200000000000035e+00 0.000000000000000000e+00
1.603800000000000114e+00 0.000000000000000000e+00
1.643400000000000194e+00 0.000000000000000000e+00
1.683000000000000274e+00 0.000000000000000000e+00
1.722600000000000131e+00 0.000000000000000000e+00
1.762200000000000211e+00 0.000000000000000000e+00
1.801800000000000068e+00 2.686233207316154263e-04
1.841400000000000148e+00 2.829132490318369501e-03
1.881000000000000227e+00 2.156688093192458272e-02
1.920600000000000307e+00 9.799582299039122368e-02
1.960200000000000164e+00 2.843853237302386705e-01
1.999800000000000022e+00 6.115601732060802487e-01
2.039400000000000102e+00 1.049855771790497272e+00
2.079000000000000181e+00 1.537456622096709635e+00
2.118600000000000261e+00 1.925062972804528538e+00
2.158200000000000340e+00 2.278859791646064892e+00
2.197799999999999976e+00 2.472716278802827627e+00
2.237400000000000055e+00 2.546320122754276216e+00
2.277000000000000135e+00 2.497293150674775308e+00
2.316600000000000215e+00 2.432389143730717240e+00
2.356200000000000294e+00 2.283847556262164513e+00
2.395800000000000374e+00 2.145539863162009731e+00
2.435400000000000453e+00 1.971939694367125684e+00
2.475000000000000089e+00 1.816377402213586345e+00
2.514600000000000168e+00 1.659973807280384017e+00
2.554200000000000248e+00 1.529364704935586738e+00
2.593800000000000328e+00 1.407646926941733989e+00
2.633399999999999963e+00 1.298917277818361971e+00
2.673000000000000043e+00 1.176436290061692702e+00
2.712600000000000122e+00 1.108501533465074518e+00
2.752200000000000202e+00 1.019208021699562039e+00
2.791800000000000281e+00 9.634781323939402009e-01
2.831400000000000361e+00 9.007639252775943017e-01
2.871000000000000441e+00 8.603751607483101083e-01
2.910600000000000076e+00 8.028432291319996805e-01
2.950200000000000156e+00 7.593416407044105698e-01
2.989800000000000235e+00 7.460914949295266441e-01
3.029400000000000315e+00 7.098936748955074760e-01
3.069000000000000394e+00 6.864607074508491946e-01
3.108600000000000030e+00 6.764828193217936603e-01
3.148200000000000109e+00 6.657746975456223515e-01
3.187800000000000189e+00 6.520396946413601347e-01
3.227400000000000269e+00 6.435883446794303797e-01
3.267000000000000348e+00 6.534098932110604663e-01
