# r_A g_r
2.033437500000000175e-02 0.000000000000000000e+00
6.100312500000000526e-02 0.000000000000000000e+00
1.016718750000000088e-01 0.000000000000000000e+00
1.423406249999999984e-01 0.000000000000000000e+00
1.830093750000000297e-01 0.000000000000000000e+00
2.236781250000000054e-01 0.000000000000000000e+00
2.643468749999999812e-01 0.000000000000000000e+00
3.050156250000000124e-01 0.000000000000000000e+00
3.456843750000000437e-01 0.000000000000000000e+00
3.863531250000000750e-01 0.000000000000000000e+00
4.270218749999999952e-01 0.000000000000000000e+00
4.676906250000000265e-01 0.000000000000000000e+00
5.083593750000000577e-01 0.000000000000000000e+00
5.490281249999999780e-01 0.000000000000000000e+00
5.896968750000000092e-01 0.000000000000000000e+00
6.303656250000000405e-01 0.000000000000000000e+00
6.710343750000000718e-01 0.000000000000000000e+00
7.117031250000001030e-01 0.000000000000000000e+00
7.523718750000001343e-01 0.000000000000000000e+00
7.930406250000000545e-01 0.000000000000000000e+00
8.337093750000000858e-01 0.000000000000000000e+00
8.743781250000000060e-01 0.000000000000000000e+00
9.150468750000000373e-01 0.000000000000000000e+00
9.557156250000000686e-01 0.000000000000000000e+00
9.963843750000000998e-01 0.000000000000000000e+00
1.037053125000000131e+00 0.000000000000000000e+00
1.077721875000000162e+00 0.000000000000000000e+00
1.118390624999999972e+00 0.000000000000000000e+00
1.159059375000000003e+00 0.000000000000000000e+00
1.199728125000000034e+00 0.000000000000000000e+00
1.240396875000000065e+00 0.000000000000000000e+00
1.281065625000000097e+00 0.000000000000000000e+00
1.321734375000000128e+00 0.000000000000000000e+00
1.362403125000000159e+00 0.000000000000000000e+00
1.403071875000000190e+00 0.000000000000000000e+00
1.443740625000000222e+00 0.000000000000000000e+00
1.484409375000000253e+00 0.000000000000000000e+00
1.525078125000000062e+00 0.000000000000000000e+00
1.565746875000000093e+00 0.000000000000000000e+00
1.606415625000000125e+00 0.000000000000000000e+00
1.647084375000000156e+00 0.000000000000000000e+00
1.687753125000000187e+00 0.000000000000000000e+00
1.728421875000000218e+00 0.000000000000000000e+00
1.769090625000000028e+00 0.000000000000000000e+00
1.809759375000000059e+00 0.000000000000000000e+00
1.850428125000000090e+00 0.000000000000000000e+00
1.891096875000000122e+00 0.000000000000000000e+00
1.931765625000000153e+00 0.000000000000000000e+00
1.972434375000000184e+00 0.000000000000000000e+00
2.013103125000000215e+00 0.000000000000000000e+00
2.053771875000000247e+00 0.000000000000000000e+00
2.094440625000000278e+00 0.000000000000000000e+00
2.135109375000000309e+00 0.000000000000000000e+00
2.175778125000000340e+00 0.000000000000000000e+00
2.216446875000000372e+00 0.000000000000000000e+00
2.257115624999999959e+00 0.000000000000000000e+00
2.297784374999999990e+00 2.613129124025187532e-04
2.338453125000000021e+00 9.755708408374554746e-03
2.379121875000000053e+00 1.525067449237584860e-01
2.419790625000000084e+00 1.085059288457315585e+00
2.460459375000000115e+00 3.902735719650360480e+00
2.501128125000000146e+00 8.109191218263115175e+00
2.541796875000000178e+00 1.047166450845469754e+01
2.582465625000000209e+00 9.199986937134344345e+00
2.623134375000000240e+00 5.702267247892865321e+00
2.663803125000000271e+00 2.610359023412923918e+00
2.704471875000000303e+00 8.998356647719324419e-01
2.745140625000000334e+00 2.476515259153576065e-01
2.785809375000000365e+00 5.202952776554770065e-02
2.826478125000000396e+00 7.483594624170746001e-03
2.867146875000000428e+00 1.062947655062412367e-03
2.907815625000000459e+00 5.439067237954196290e-05
2.948484375000000490e+00 0.000000000000000000e+00
2.989153125000000077e+00 0.000000000000000000e+00
3.029821875000000109e+00 0.000000000000000000e+00
3.070490625000000140e+00 0.000000000000000000e+00
3.111159375000000171e+00 0.000000000000000000e+00
3.151828125000000203e+00 0.000000000000000000e+00
3.192496875000000234e+00 0.000000000000000000e+00
3.233165625000000265e+00 0.000000000000000000e+00
3.273834375000000296e+00 3.432691206324614270e-04
3.314503125000000328e+00 2.302416999958935805e-03
3.355171875000000359e+00 1.331822090701549263e-02
3.395840625000000390e+00 5.782711987735014020e-02
3.436509375000000421e+00 1.919861999678590114e-01
3.477178125000000453e+00 5.061560574270203006e-01
3.517846875000000484e+00 1.056008078026216657e+00
3.558515625000000071e+00 1.706032082432904717e+00
3.599184375000000102e+00 2.110899566228464419e+00
3.639853125000000134e+00 2.035909444431970083e+00
3.680521875000000165e+00 1.509415520066305305e+00
3.721190625000000196e+00 8.608536402389280751e-01
3.761859375000000227e+00 3.878604250695178446e-01
3.802528125000000259e+00 1.316145113834119584e-01
3.843196875000000290e+00 3.649223860814102688e-02
3.883865625000000321e+00 7.530550431562887427e-03
3.924534375000000352e+00 1.343675499396398054e-03
3.965203125000000384e+00 1.755005695446554530e-04
4.005871875000000415e+00 2.865919914167470932e-05
4.046540625000000446e+00 0.000000000000000000e+00
4.087209375000000477e+00 1.376494219807992308e-04
4.127878125000000509e+00 1.970276996353115435e-03
4.168546875000000540e+00 1.667359813154621964e-02
4.209215625000000571e+00 9.331569744600498595e-02
